constraint_type,support,fidelity_micro_f1,primary_fix_rate,primary_exact_rate,primary_alternative_rate,primary_total,gfr,srr,sir,disruption_add_mean,disruption_del_mean,disruption_total_ops_mean,disruption_changed_mean
conflictWith,15093,0.6664421619801313,0.8087524017756575,0.7078778241568939,0.10087457761876366,30186,0.9243821310251683,0.014943704543905822,0.0063133052115815986,0.3709666732922547,0.8095143443980654,1.18048101769032,1.18048101769032
single,17958,0.6265515903801396,0.8879607974161934,0.7309277202361064,0.15703307718008688,35916,0.960601432721704,0.009469710776938556,0.0005829693616389543,0.2577124401381,0.89074507183428,1.14845751197238,1.14845751197238
type,15001,0.44314032342201354,0.7070528631424572,0.6891873875074995,0.01786547563495767,30002,0.8990463937009686,0.035126600712566514,0.013089527687681714,0.946003599760016,0.07632824478368108,1.022331844543697,1.022331844543697
distinct,34232,0.9416795409401898,0.9787187426968919,0.9630170600607618,0.01570168263612994,68464,0.9208114181717172,0.0002827566496389456,0.5513108237227398,0.07110306146295864,0.9877892030848329,1.0588922645477916,1.0588922645477916
valueType,14999,0.2540192926045016,0.6184078938595906,0.5237682512167477,0.09463964264284286,29998,0.7534401389013468,0.012358393204655416,0.041193641130116,0.808187212480832,0.20781385425695045,1.0160010667377826,1.0160010667377826
itemRequiresStatement,15001,0.5910810272745372,0.8472101859876008,0.783081127924805,0.06412905806279581,30002,0.9140527573641415,0.01221296670413921,0.0059596940296589565,0.9850676621558563,0.019465368975401638,1.004533031131258,1.004533031131258
inverse,15001,0.7862167795726942,0.8843410439304047,0.8510765948936737,0.033264449036730884,30002,0.7891940655217345,0.0334016457127346,0.003240556797283183,0.9370708619425372,0.0863275781614559,1.023398440103993,1.023398440103993
valueRequiresStatement,15003,0.5685110270129192,0.8077717789775378,0.734619742718123,0.07315203625941478,30006,0.6716867347665901,0.008817019381953091,0.034174442962981104,0.9246817303206025,0.09684729720722522,1.0215290275278277,1.0215290275278277
oneOf,1028,0.8948533480907581,0.8151750972762646,0.8151750972762646,0.0,2056,0.7496821430362491,0.015035698815169855,0.008398366115921313,0.9426070038910506,0.8151750972762646,1.7577821011673151,1.7577821011673151
