state,factor_family,factor_type,support,positive_rate,accuracy,precision,recall,f1,auroc,auprc,ece
post_gold,conflictWith,3,1828526,0.704948685443904,0.7779041698067186,0.9006706365737904,0.7698494278973823,0.830137618861589,0.8608008998751175,0.9268097699999376,0.22308876303114333
post_gold,distinct,2,653429,1.0,1.0,1.0,1.0,1.0,,,0.005762824991898249
post_gold,inverse,9,31799,0.7610931161357275,0.760118242712035,0.760892834655585,0.9986364763242708,0.8637029625129543,0.965007996678215,0.9875665977623154,0.2505721704219999
post_gold,itemRequiresStatement,4,693508,0.9911522289577049,0.9911522289577049,0.9911522289577049,1.0,0.995556456752216,0.622525435215603,0.9937333085441635,0.013270013580749142
post_gold,oneOf,12,2303,0.9995657837603127,0.9995657837603127,0.9995657837603127,1.0,0.9997828447339848,0.4952215464813206,0.999695010368169,0.24256158403039654
post_gold,single,0,1350823,0.9990154150469751,0.9990154150469751,0.9990154150469751,1.0,0.9995074650522384,0.6375381143558292,0.9993740531649504,0.004898412039105299
post_gold,symmetric,14,282,0.9893617021276596,0.425531914893617,0.9915966386554622,0.4229390681003584,0.592964824120603,0.5173237753882916,0.991119580478657,0.4890787989323867
post_gold,type,5,741644,0.942449477107615,0.942449477107615,0.942449477107615,1.0,0.9703721905920146,0.7520014783022143,0.9774302981661888,0.010591403231022362
post_gold,valueRequiresStatement,15,10711,0.9931845766034917,0.9931845766034917,0.9931845766034917,1.0,0.9965806360953674,0.5875962883125111,0.9947846707989549,0.2197771326810658
post_gold,valueType,16,459801,0.8781342363326744,0.8781342363326744,0.8781342363326744,1.0,0.9351133900283475,0.8185042292159126,0.9567688283705065,0.05250027117658278
pre,conflictWith,3,1828526,0.7143568098019936,0.7529769880220462,0.9041578696451679,0.7317710645986127,0.808881795517975,0.8354960280834156,0.9219486336622353,0.14807925417118104
pre,distinct,2,397318,1.0,0.9999949662486975,1.0,0.9999949662486975,0.9999974831180141,,,0.011625160958741738
pre,inverse,9,31799,0.12292839397465329,0.953457655901129,0.9829025844930418,0.6323867996930161,0.7696139476961396,0.973102619370162,0.9236726225975561,0.8636997068947395
pre,itemRequiresStatement,4,693356,0.9944530659574591,0.9943174934665597,0.9944537402994548,0.99986222099752,0.9971506468899383,0.385496216675399,0.9932713047988557,0.02253568197337526
pre,oneOf,12,2303,0.9882761615284411,0.9882761615284411,0.9882761615284411,1.0,0.9941035160515396,0.779893250016273,0.9964874645787394,0.0721796849888923
pre,single,0,1350823,0.9985608773318192,0.9985579161740658,0.9985608730703374,0.9999970345746356,0.9992784378104514,0.6064462630510407,0.9990784320016278,0.0073915382024710135
pre,symmetric,14,282,0.9893617021276596,0.09574468085106383,1.0,0.08602150537634409,0.15841584158415845,0.3309438470728794,0.9877704161968263,0.48548666171148314
pre,type,5,741411,0.9424232982785526,0.9424044153647572,0.9424222110421272,0.9999799634476036,0.9703483043079744,0.6246309797418859,0.9636088708011071,0.011593666884024946
pre,valueRequiresStatement,15,10712,0.9835698282300224,0.9831964152352501,0.9835636906985431,0.9996203492786636,0.9915270193937111,0.7234390099744599,0.9929298142948386,0.11906990916082182
pre,valueType,16,459172,0.8778170271706462,0.8758983561715435,0.8785783825765449,0.9963182482403757,0.9337513980054735,0.7364147118079485,0.952133384370826,0.03936755944513108
