state,factor_family,factor_type,support,positive_rate,accuracy,precision,recall,f1,auroc,auprc,ece
post_gold,conflictWith,3,1843471,0.7072381393577659,0.9381612187010265,0.9678977194521022,0.9438682960914209,0.9557319921186032,0.9849765639354894,0.9925777005195998,0.2510444186499561
post_gold,distinct,2,687661,0.9887735381241629,0.9989675145166005,0.9991431473095854,0.9998132190881268,0.9994780708912049,0.9970440294716825,0.9999437957589373,0.011417075085050358
post_gold,inverse,9,42384,0.8147178180445451,0.9756275953189883,0.9769892350629379,0.9934841157221048,0.9851676358676145,0.9835276634795512,0.9950125176223624,0.1613554186022444
post_gold,itemRequiresStatement,4,705893,0.9912947146380542,0.9912947146380542,0.9912947146380542,1.0,0.9956283289972333,0.8785680643474054,0.9982965749746606,0.005982266738343246
post_gold,oneOf,12,3331,0.9978985289702792,0.9978985289702792,0.9978985289702792,1.0,0.9989481592787377,0.7413615265600826,0.9992811288712321,0.12149892254872073
post_gold,single,0,1368781,0.9990254102007553,0.9990254102007553,0.9990254102007553,1.0,0.9995124675282908,0.8616782372294997,0.999793448818419,0.001233416213336123
post_gold,symmetric,14,4698,0.9987228607918263,0.9987228607918263,0.9987228607918263,1.0,0.9993610223642173,0.6469344984370561,0.9992059490701211,0.008647010117299861
post_gold,type,5,752805,0.9426518155432018,0.9751715251625587,0.9757138372054596,0.9985147252171193,0.9869826144671202,0.9658966092279356,0.9967324551632375,0.029812196459510647
post_gold,valueRequiresStatement,15,20367,0.9951391957578436,0.9951391957578436,0.9951391957578436,1.0,0.997563676633444,0.5631751698951225,0.995768716475974,0.07930305870431402
post_gold,valueType,16,466978,0.8715207140379204,0.9683989395646048,0.9751765144870298,0.9889134873618178,0.9819969622847523,0.981194928165327,0.9957470687200174,0.09808120895117475
pre,conflictWith,3,1843471,0.7164360057738907,0.9420842530205249,0.9698519263355,0.9486503287199721,0.9591339768336814,0.9867427499897532,0.9940167329742136,0.24401637794607803
pre,distinct,2,431550,0.9406951685783802,0.9984567257559959,0.99979529271908,0.9985638873082617,0.999179210612585,0.9997302440913256,0.9999708356131308,0.0623017761464579
pre,inverse,9,42384,0.3294167610419026,0.9793318233295584,0.9903327338129496,0.9464976364417705,0.9679191386508459,0.9926781520870842,0.9906401660553448,0.6633016158321767
pre,itemRequiresStatement,4,705718,0.9935229085838819,0.9942101519303744,0.9943982557850882,0.9998046058815055,0.9970941024360895,0.8320927880532808,0.9982002822857652,0.0031568884472310365
pre,oneOf,12,3331,0.7577304112879015,0.7577304112879015,0.7577304112879015,1.0,0.8621690862510675,0.6130566634656738,0.8404331344837931,0.07091870285733905
pre,single,0,1368781,0.9985768358853607,0.998612634161345,0.9986198703598712,0.9999926838172623,0.9993058056072921,0.8748241813873934,0.9997382790735816,0.00031286717679425066
pre,symmetric,14,4698,0.945295870583227,0.945295870583227,0.945295870583227,1.0,0.9718787613524456,0.7818295560382253,0.9782268824323115,0.08421369288362507
pre,type,5,752048,0.9428600302108376,0.9765453800821224,0.978012861549608,0.997550333109568,0.9876849887280539,0.9670150559581477,0.9969814747173477,0.03313072849006195
pre,valueRequiresStatement,15,20344,0.9631340935902477,0.9631340935902477,0.9631340935902477,1.0,0.981220892383194,0.8978674764383654,0.994079075561652,0.0346141288125088
pre,valueType,16,466401,0.8707635704040085,0.9699250216015832,0.9762285325624894,0.9895574022776239,0.9828477797002918,0.9824565018561074,0.9960313465526014,0.09905795224878552
