constraint_type,support,fidelity_micro_f1,primary_fix_rate,repair_action_match_rate,repair_action_exact_rate,repair_action_alternative_rate,repair_action_total,gfr,srr,sir,disruption_add_mean,disruption_del_mean,disruption_total_ops_mean,disruption_changed_mean
single,13533,0.5516335227272727,0.6388088376560999,0.9574743220276362,0.7457326535136334,0.2117416685140028,27066,0.8200415437943309,5.933086648775115e-06,0.0009181347821860249,0.0016995492499815266,0.9971181556195965,0.9988177048695781,0.9988177048695781
conflictWith,12145,0.8225354164390546,0.7804857966241252,0.947550432276657,0.8750514615067929,0.07249897076986414,24290,0.9004117368976449,0.0012718315015962129,0.1472393499726112,0.09427748044462742,0.9991766158913133,1.0934540963359407,1.0934540963359407
type,8738,0.7498581962563811,0.6937514305333028,0.8690775921263447,0.852082856488899,0.01699473563744564,17476,0.8734464387337624,0.0007434986115726686,0.381806247575857,0.9668116273746853,0.025520714122224765,0.9923323414969101,0.9923323414969101
distinct,27960,0.5684257757222242,0.9721387696709585,0.9727825464949929,0.7654685264663805,0.2073140200286123,55920,0.9639238434453056,1.9677318217654753e-05,0.5577486507324595,0.015736766809728183,0.9994277539341917,1.01516452074392,1.01516452074392
valueRequiresStatement,6411,0.6381890068997597,0.9996880361878022,0.9174075807206364,0.7970675401653409,0.12034004055529558,12822,0.8379981577366938,0.0,0.02053764144155929,0.9996880361878022,0.0,0.9996880361878022,0.9996880361878022
itemRequiresStatement,10151,0.39658068979148137,0.9928085902866712,0.9935966899812826,0.6948083932617476,0.298788296719535,20302,0.8244464786294311,0.003893598952110892,0.19681518013876118,0.9927100778248449,0.0002955373854792631,0.9930056152103242,0.9930056152103242
valueType,8441,0.5906729702912509,0.6317971804288591,0.8039331832721242,0.7816609406468428,0.022272242625281366,16882,0.8954613154755341,4.712664894181037e-05,0.050575958163529715,0.992417959957351,0.013742447577301267,1.0061604075346522,1.0061604075346522
inverse,11774,0.9358758015524806,1.0,0.9709529471717343,0.9419908272464753,0.028962119925259044,23548,0.877870706326951,0.0,6.268217005672736e-05,0.9997452012909801,0.0002547987090198743,1.0,1.0
oneOf,812,0.816206261510129,0.9938423645320197,0.9156403940886699,0.7863300492610837,0.12931034482758622,1624,0.8507108284791809,0.0,0.03854641753714874,0.6305418719211823,0.9938423645320197,1.624384236453202,1.624384236453202
