constraint_type,support,fidelity_micro_f1,primary_fix_rate,primary_exact_rate,primary_alternative_rate,primary_total,gfr,srr,sir,disruption_add_mean,disruption_del_mean,disruption_total_ops_mean,disruption_changed_mean
conflictWith,15093,0.7182930032984034,0.8595375339561386,0.7766514278142185,0.0828861061419201,30186,0.9296177741808961,0.010617824155191245,0.006044787333295308,0.18028225004969192,0.9090969323527464,1.0893791824024381,1.0893791824024381
single,17958,0.5763592784155418,0.8999053346697851,0.7228254816794744,0.17707985299031073,35916,0.9658145640990036,0.004989504105676358,0.002853002891123019,0.12234101793072726,0.9362958013141776,1.0586368192449047,1.0586368192449047
type,15001,0.4423814990979171,0.7069195386974202,0.7035864275714953,0.003333111125924938,30002,0.9040730823885977,0.028495945460514448,0.015909470067956386,0.9689354043063796,0.040930604626358245,1.0098660089327378,1.0098660089327378
distinct,34232,0.9096468895284481,0.9701887123159617,0.9474614395886889,0.022727272727272728,68464,0.9218841368121485,0.0003324000457275868,0.5511268689486309,0.0573440056087871,0.9950046739892499,1.052348679598037,1.052348679598037
valueType,14999,0.4410949868073879,0.7116474431628775,0.7110474031602106,0.0006000400026668444,29998,0.7430792278312425,0.013909944313223137,0.030864383662857597,0.9959997333155544,0.009467297819854658,1.005467031135409,1.005467031135409
itemRequiresStatement,15001,0.48851301857894386,0.8180121325244983,0.7343843743750417,0.08362775814945671,30002,0.9133118714544797,0.013391012187946154,0.010810828469651219,0.9921338577428171,0.005466302246516899,0.997600159989334,0.997600159989334
inverse,15001,0.8195583179053161,0.9049063395773616,0.8856076261582562,0.01929871341910539,30002,0.7872290939420278,0.033441449901992215,0.0036485732503056868,0.9499366708886074,0.043063795746950205,0.9930004666355576,0.9930004666355576
valueRequiresStatement,15003,0.7452644041041832,0.9044524428447643,0.8617943078051057,0.042658135039658734,30006,0.6708376285178655,0.0030136852119958123,0.02743316864743301,0.9782043591281744,0.02706125441578351,1.005265613543958,1.005265613543958
oneOf,1028,0.7212721272127213,0.7417315175097277,0.683852140077821,0.05787937743190662,2056,0.7649089160534353,0.012581321237566112,0.022247441885590788,0.6070038910505836,0.877431906614786,1.4844357976653697,1.4844357976653697
