constraint_type,support,fidelity_micro_f1,primary_fix_rate,primary_exact_rate,primary_alternative_rate,primary_total,gfr,srr,sir,disruption_add_mean,disruption_del_mean,disruption_total_ops_mean,disruption_changed_mean
conflictWith,15093,0.32911680048477504,0.6092228185251441,0.5191148214404029,0.09010799708474126,30186,0.936802197969705,0.0014700726404171614,0.003990077965375981,0.10084144967865898,0.468097793679189,0.568939243357848,0.568939243357848
single,17958,0.39704838938555415,0.7855830270631473,0.6106749081189442,0.17490811894420313,35916,0.9689084112913686,0.0012230965126181618,0.0014492349945579935,0.07422875598619,0.7393919144670899,0.8136206704532799,0.8136206704532799
type,15001,0.010670731707317074,0.4844677021531898,0.4695353643090461,0.014932337844143724,30002,0.925032804699542,0.003931282919783066,0.0059464526439076,0.5136990867275515,0.03826411572561829,0.5519632024531698,0.5519632024531698
distinct,34232,0.5410677170389966,0.9391358962374386,0.7391183687777518,0.20001752745968684,68464,0.9331230758662767,0.0003683544919244067,0.7596660701245977,0.007186258471605515,0.9437660668380463,0.9509523253096518,0.9509523253096518
valueType,14999,0.01675728010724659,0.4972664844322955,0.48933262217481166,0.007933862257483833,29998,0.7487895763087018,0.01080088715181766,0.028706765627638315,0.7569171278085206,0.017467831188745918,0.7743849589972664,0.7743849589972664
itemRequiresStatement,15001,0.0006138735420503376,0.49910005999600027,0.48713419105392974,0.011965868942070529,30002,0.9169223928244398,0.005266940889346287,0.00210947170881686,0.7222851809879342,0.010665955602959803,0.732951136590894,0.732951136590894
inverse,15001,0.02250473783954517,0.4849343377108193,0.44837010865942273,0.03656422905139657,30002,0.8022263676115678,0.006664606769430509,0.003371769667762981,0.5728284781014599,0.0921938537430838,0.6650223318445437,0.6650223318445437
valueRequiresStatement,15003,0.002804836447712542,0.5694194494434447,0.47450509898020393,0.09491435046324069,30006,0.6701104221809412,0.0016151205637332815,0.0038435577620132035,0.7223888555622209,0.014597080583883223,0.7369859361461041,0.7369859361461041
oneOf,1028,0.044541484716157195,0.08803501945525292,0.08803501945525292,0.0,2056,0.7134348525755032,0.0018949682178344845,0.0064162860801206196,0.41926070038910507,0.05058365758754864,0.4698443579766537,0.4698443579766537
