constraint_type,support,fidelity_micro_f1,primary_fix_rate,primary_exact_rate,primary_alternative_rate,primary_total,gfr,srr,sir,disruption_add_mean,disruption_del_mean,disruption_total_ops_mean,disruption_changed_mean
conflictWith,15093,0.704366123093109,0.8439011462267276,0.7627045650301464,0.0811965811965812,30186,0.9291650337933186,0.010790548701794009,0.005487461038632352,0.19631617306035912,0.890346518253495,1.0866626913138542,1.0866626913138542
single,17958,0.5431668308951716,0.8793017039759439,0.6948992092660653,0.1844024947098786,35916,0.9636391060872254,0.007158218458037358,0.001977225955520215,0.13893529346252367,0.9165831384341241,1.0555184318966477,1.0555184318966477
type,15001,0.42811017395888246,0.6988200786614226,0.6954869675354977,0.003333111125924938,30002,0.9041737174065609,0.028025313964720595,0.013799600694386752,0.9613359109392707,0.03966402239850677,1.0009999333377775,1.0009999333377775
distinct,34232,0.9117275991626114,0.9678225052582379,0.9474614395886889,0.02036106566954896,68464,0.9219580665019537,0.00040394797853198454,0.556190886018194,0.05439354989483524,0.9937777518111708,1.0481713017060061,1.0481713017060061
valueType,14999,0.4118662065303955,0.696113074204947,0.6949129941996133,0.0012000800053336889,29998,0.7429944504591144,0.014483313977613104,0.0315648775869582,0.9841989465964398,0.009000600040002667,0.9931995466364424,0.9931995466364424
itemRequiresStatement,15001,0.560013340003335,0.8548763415772281,0.768382107859476,0.08649423371775215,30002,0.9151684647525173,0.012872400089201921,0.011204522394576782,0.9833344443703753,0.010999266715552297,0.9943337110859276,0.9943337110859276
inverse,15001,0.7884570784878905,0.8864075728284782,0.8688420771948536,0.017565495633624424,30002,0.7883506453008171,0.032407089880543374,0.003736892153529682,0.9523365108992734,0.036330911272581826,0.9886674221718552,0.9886674221718552
valueRequiresStatement,15003,0.7346911827815007,0.889255482236886,0.853629274145171,0.03562620809171499,30006,0.6671645948061523,0.005538501125694716,0.0023466376027246297,0.9858028394321136,0.011797640471905619,0.9976004799040192,0.9976004799040192
oneOf,1028,0.7166407465007776,0.6984435797665369,0.6580739299610895,0.04036964980544747,2056,0.7651456999280885,0.012524346449814724,0.034205689211275175,0.5359922178988327,0.8336575875486382,1.3696498054474708,1.3696498054474708
