state,factor_family,factor_type,support,positive_rate,accuracy,precision,recall,f1,auroc,auprc,ece
post_gold,conflictWith,3,1828526,0.704948685443904,0.7719605846457748,0.8739099451081415,0.7905838324863055,0.8301611972980635,0.8381809602507586,0.9214757667177238,0.14232259266637357
post_gold,distinct,2,653429,1.0,1.0,1.0,1.0,1.0,,,0.0038383191626024746
post_gold,inverse,9,31799,0.7610931161357275,0.7601496902418315,0.760916789975758,0.9986364763242708,0.8637183954257125,0.8914779533677197,0.9696040120067352,0.2482384545881739
post_gold,itemRequiresStatement,4,693508,0.9911522289577049,0.9911522289577049,0.9911522289577049,1.0,0.995556456752216,0.6129499183997891,0.9931240499615204,0.009702603962541814
post_gold,oneOf,12,2303,0.9995657837603127,0.9995657837603127,0.9995657837603127,1.0,0.9997828447339848,0.575152041702867,0.9997599306065368,0.13532061673639345
post_gold,single,0,1350823,0.9990154150469751,0.9990154150469751,0.9990154150469751,1.0,0.9995074650522384,0.6639285107959425,0.9994310886018838,0.0024927276932106015
post_gold,symmetric,14,282,0.9893617021276596,0.010638297872340425,0.0,0.0,0.0,0.42891278375149344,0.9825309855723959,0.48700793013505056
post_gold,type,5,741644,0.942449477107615,0.942449477107615,0.942449477107615,1.0,0.9703721905920146,0.785610291302275,0.9793008389915996,0.020481394644082898
post_gold,valueRequiresStatement,15,10711,0.9931845766034917,0.9931845766034917,0.9931845766034917,1.0,0.9965806360953674,0.5541635439764916,0.9942981983950228,0.14099021722439925
post_gold,valueType,16,459801,0.8781342363326744,0.8781342363326744,0.8781342363326744,1.0,0.9351133900283475,0.8460439304780696,0.9650396210603502,0.05226051968470574
pre,conflictWith,3,1828526,0.7143568098019936,0.7564240267844154,0.7931637856640291,0.8915098528578647,0.8394662487506311,0.8122101845594735,0.9151396944400145,0.06084213589105655
pre,distinct,2,397318,1.0,1.0,1.0,1.0,1.0,,,0.0057214898226468905
pre,inverse,9,31799,0.12292839397465329,0.9599672945690116,0.9877868245743894,0.6827833205423381,0.8074421418847374,0.9606514822098766,0.8948265763704149,0.8600885792730423
pre,itemRequiresStatement,4,693356,0.9944530659574591,0.9943896064936338,0.9944527139296594,0.9999361865672725,0.9971869119814408,0.43315773100242805,0.9938200637122259,0.013926131345789447
pre,oneOf,12,2303,0.9882761615284411,0.9882761615284411,0.9882761615284411,1.0,0.9941035160515396,0.7769804074724987,0.9961822972055732,0.04026388493093571
pre,single,0,1350823,0.9985608773318192,0.9985593967529425,0.9985608752010814,0.9999985172873178,0.9992791791680556,0.649204657205416,0.9991978251851852,0.0028130354491889406
pre,symmetric,14,282,0.9893617021276596,0.09929078014184398,1.0,0.08960573476702509,0.1644736842105263,0.7084826762246117,0.9946719853977344,0.4829452447857417
pre,type,5,741411,0.9424232982785526,0.9424138568216549,0.9424227546654725,0.9999899817238018,0.9703533091178764,0.6901224493155527,0.9704768968764963,0.00444946312114533
pre,valueRequiresStatement,15,10712,0.9835698282300224,0.9834764749813294,0.9835682942769116,0.9999050873196659,0.9916694121523039,0.7889441287878788,0.9938903972874051,0.06605402476211994
pre,valueType,16,459172,0.8778170271706462,0.8778344498357914,0.877886638582612,0.9999181281616795,0.9349371989417363,0.7673305519960144,0.9570450742084787,0.020852610664286248
