state,exposure_bucket,primary_or_secondary,factor_family,support,positive_rate,accuracy,precision,recall,f1,auroc,auprc,ece
post_gold,high_gt100,primary,conflictWith,14813,0.9873084452845473,0.9435630864780936,0.9911662036047588,0.9513162393162393,0.9708324610983182,0.8684946353882524,0.9979711925489051,0.05743221201809485
post_gold,high_gt100,primary,distinct,34189,0.7741963789522947,0.9387229810757846,0.9757944873897088,0.9442744342438324,0.9597757425647524,0.9720789443394235,0.9857784177012514,0.29095072474670297
post_gold,high_gt100,primary,inverse,10515,0.9762244412743699,0.9798383262006657,0.9815116390458857,0.9981490501704822,0.9897604327666151,0.9287612274719921,0.9978073384655206,0.00851640221452462
post_gold,high_gt100,primary,itemRequiresStatement,11966,0.9992478689620592,0.9992478689620592,0.9992478689620592,1.0,0.9996237930025499,0.9750680679843513,0.9999808037056276,0.012840723385684174
post_gold,high_gt100,primary,oneOf,984,0.9949186991869918,0.9949186991869918,0.9949186991869918,1.0,0.9974528782475802,0.7432073544433094,0.9983719146586382,0.1590697314075338
post_gold,high_gt100,primary,single,17589,0.9997725851384388,0.9997725851384388,0.9997725851384388,1.0,0.9998862796383693,0.7220145009951664,0.9999043119973524,0.002516553559049336
post_gold,high_gt100,primary,symmetric,4370,0.9993135011441647,0.9993135011441647,0.9993135011441647,1.0,0.999656632711457,0.7838332951683078,0.9998046363505553,0.07286652698942399
post_gold,high_gt100,primary,type,11052,0.9562070213536011,0.9583785740137531,0.9612997444322745,0.9965934897804694,0.9786285077123211,0.8714771632434732,0.9917003925404765,0.022522544560499812
post_gold,high_gt100,primary,valueRequiresStatement,9655,0.9973070947695495,0.9973070947695495,0.9973070947695495,1.0,0.9986517320058079,0.3990110004234005,0.9967205465332378,0.05969911743975988
post_gold,high_gt100,primary,valueType,7161,0.446585672392124,0.8352185448959643,0.9371750433275563,0.6763602251407129,0.7856883399927352,0.8943286295670854,0.9036498547945252,0.46631360176482556
post_gold,high_gt100,secondary,conflictWith,1827230,0.7048948408246362,0.9348489243280813,0.9614113920902867,0.9455242797970504,0.9534016563811539,0.9842547431069562,0.9925740739136969,0.24666771753675534
post_gold,high_gt100,secondary,distinct,648167,1.0,0.9998657753325918,1.0,0.9998657753325918,0.9999328831619283,,,0.004163843446653756
post_gold,high_gt100,secondary,inverse,31782,0.7609967906362092,0.9752375558492228,0.97603450380437,0.9918134457950881,0.9838607140659927,0.9818160561162662,0.9893709511424914,0.2759843641204851
post_gold,high_gt100,secondary,itemRequiresStatement,678624,0.9912145753760551,0.9912145753760551,0.9912145753760551,1.0,0.9955879066311647,0.8844820762707873,0.998310628003483,0.006690518589064953
post_gold,high_gt100,secondary,oneOf,2281,0.9995615957913196,0.9995615957913196,0.9995615957913196,1.0,0.9997807498355623,0.5671052631578948,0.9997514439494868,0.11742637116675944
post_gold,high_gt100,secondary,single,1342612,0.9990138625306492,0.9990138625306492,0.9990138625306492,1.0,0.999506688028615,0.8558312830539707,0.999758778519195,0.0013084325829084659
post_gold,high_gt100,secondary,symmetric,279,0.989247311827957,0.989247311827957,0.989247311827957,1.0,0.9945945945945946,0.34299516908212563,0.9811436107756207,0.14114688310144619
post_gold,high_gt100,secondary,type,735512,0.9425135143954143,0.9772634572923351,0.9795357659804615,0.9966995080997648,0.9880431028873728,0.9724299464098217,0.9976151372502613,0.031910387712750864
post_gold,high_gt100,secondary,valueRequiresStatement,10604,0.9931158053564693,0.9931158053564693,0.9931158053564693,1.0,0.9965460137213153,0.5736898107739317,0.9931665476594042,0.062401907982937765
post_gold,high_gt100,secondary,valueType,458304,0.8780656507471024,0.9685012568077084,0.9794472303437571,0.9847920461407332,0.9821123664561023,0.981875903015916,0.9967776747078757,0.09424274575797488
post_gold,low_1_10,primary,conflictWith,8,1.0,0.75,1.0,0.75,0.8571428571428571,,,0.1906149573624134
post_gold,low_1_10,primary,distinct,4,1.0,1.0,1.0,1.0,1.0,,,0.0025246739387512207
post_gold,low_1_10,primary,inverse,5,1.0,1.0,1.0,1.0,1.0,,,0.10156840085983274
post_gold,low_1_10,primary,itemRequiresStatement,55,1.0,1.0,1.0,1.0,1.0,,,0.03189999515360053
post_gold,low_1_10,primary,oneOf,3,1.0,1.0,1.0,1.0,1.0,,,0.3722589810689291
post_gold,low_1_10,primary,single,28,1.0,1.0,1.0,1.0,1.0,,,0.0035558300358908834
post_gold,low_1_10,primary,symmetric,6,1.0,1.0,1.0,1.0,1.0,,,0.40767137209574383
post_gold,low_1_10,primary,type,11,1.0,1.0,1.0,1.0,1.0,,,0.02270250428806656
post_gold,low_1_10,primary,valueType,1,1.0,1.0,1.0,1.0,1.0,,,0.002585172653198242
