constraint_type,support,fidelity_micro_f1,primary_fix_rate,primary_exact_rate,primary_alternative_rate,primary_total,gfr,srr,sir,disruption_add_mean,disruption_del_mean,disruption_total_ops_mean,disruption_changed_mean
conflictWith,15093,0.7782454958747262,0.8387331875703968,0.7890744053534752,0.04965878221692175,30186,0.9251888171172556,0.014517876547333655,0.006246407912819281,0.34055522427615453,0.8399257934141655,1.18048101769032,1.18048101769032
single,17958,0.628200155159038,0.8795244459293908,0.7290900991201693,0.15043434680922152,35916,0.9604573139559469,0.009732303803377832,0.0005192413729242317,0.2632809889742733,0.8851765229981067,1.14845751197238,1.14845751197238
type,15001,0.4685859606794692,0.7203853076461569,0.7138857409506033,0.0064995666955536295,30002,0.9007028178091508,0.03298070950366209,0.01392612066198196,0.9679354709686021,0.05432971135257649,1.0222651823211786,1.0222651823211786
distinct,34232,0.644973515780181,0.817013320869362,0.8042328815143726,0.012780439354989483,68464,0.9162327913910987,0.0002792325576716358,0.45514006532815693,0.07449170366908156,0.98440056087871,1.0588922645477916,1.0588922645477916
valueType,14999,0.4101318984185314,0.6973131542102807,0.6806453763584239,0.01666777785185679,29998,0.7457329657219486,0.01317320155886094,0.030730355010327066,0.9638642576171744,0.052136809120608044,1.0160010667377826,1.0160010667377826
itemRequiresStatement,15001,0.5987125887583781,0.8523098460102659,0.7884474368375441,0.06386240917272182,30002,0.9161299899280702,0.011079718445913714,0.008066891179840104,0.9888007466168922,0.01573228451436571,1.004533031131258,1.004533031131258
inverse,15001,0.7029738445001791,0.8390107326178254,0.7933137790813946,0.045696953536430905,30002,0.792203705266607,0.0321594719148732,0.0031321244786852477,0.9050729951336578,0.11812545830277982,1.0231984534364376,1.0231984534364376
valueRequiresStatement,15003,0.6276262560354953,0.8628607611810971,0.7935746184096514,0.06928614277144571,30006,0.6657291123401591,0.008715001670048631,0.0037748869245494547,0.9864693727921082,0.03505965473571952,1.0215290275278277,1.0215290275278277
oneOf,1028,0.9109020475926951,0.8438715953307393,0.8438715953307393,0.0,2056,0.7532936855952538,0.015562556576949795,0.011662609767696735,0.9134241245136187,0.8443579766536965,1.7577821011673151,1.7577821011673151
