constraint_type,support,fidelity_micro_f1,primary_fix_rate,repair_action_match_rate,repair_action_exact_rate,repair_action_alternative_rate,repair_action_total,gfr,srr,sir,disruption_add_mean,disruption_del_mean,disruption_total_ops_mean,disruption_changed_mean
conflictWith,12145,0.006533961404041938,0.012844792095512557,0.9162618361465624,0.4198023878139152,0.49645944833264716,24290,0.8422463263099428,1.6061909022134916e-05,0.008765029778626811,0.0,1.0,1.0,1.0
distinct,27960,0.5660442960954069,1.0,0.9713519313304722,0.7624821173104435,0.2088698140200286,55920,0.9674243681598554,0.00036337447641935776,0.5681022139002093,0.0,1.0,1.0,1.0
inverse,11774,0.2915119811002363,0.30805163920502804,0.6250212332257516,0.617717003567182,0.00730422965856973,23548,0.8503855126766504,7.905732051023595e-06,0.0,1.0,0.0,1.0,1.0
itemRequiresStatement,10151,0.0,0.036449610875775786,0.5928972515023151,0.49699536991429416,0.09590188158802089,20302,0.7506356785780424,0.008710657613384852,0.01232259301879555,1.0,0.0,1.0,1.0
oneOf,812,0.6920529801324503,1.0,0.7487684729064039,0.6434729064039408,0.10529556650246305,1624,0.8440820583165315,0.0,0.0025011034279829336,1.0,1.0,2.0,2.0
single,13533,0.4967348097671777,0.643611911623439,0.9589891376634893,0.7175423039976354,0.24144683366585384,27066,0.831892097149017,3.955398921758254e-06,0.003791684220760281,0.0,1.0,1.0,1.0
type,8738,0.2182290783748658,0.14682993820096132,0.5886358434424354,0.5769054703593499,0.011730373083085374,17476,0.785556054289978,0.0034915432102764084,0.11237358475361618,1.0,0.0,1.0,1.0
valueRequiresStatement,6411,0.4869389969769785,0.1004523475276868,0.7714865075651225,0.7208703790360318,0.05061612852909063,12822,0.80088064480327,0.0,0.0,1.0,0.0,1.0,1.0
valueType,8441,0.1277442772671389,0.0,0.5473285155787229,0.5473285155787229,0.0,16882,0.8635980375667847,0.0,0.0014731039726287778,1.0,0.0,1.0,1.0
