constraint_type,support,fidelity_micro_f1,primary_fix_rate,primary_exact_rate,primary_alternative_rate,primary_total,gfr,srr,sir,disruption_add_mean,disruption_del_mean,disruption_total_ops_mean,disruption_changed_mean
conflictWith,15093,0.7284889743969216,0.856556019346717,0.7834095275955741,0.07314649175114292,30186,0.9303297176165267,0.00981883578216968,0.005991727202764559,0.18677532631021004,0.8711985688729875,1.0579738951831974,1.0579738951831974
single,17958,0.5623164928622051,0.8990143668559973,0.7145283439135761,0.1844860229424212,35916,0.9674372221467151,0.0031619310547244244,0.002564553029409441,0.12768682481345361,0.9238779374095111,1.0515647622229647,1.0515647622229647
type,15001,0.5185039370078741,0.7457502833144457,0.741383907739484,0.004366375574961669,30002,0.9049901669372824,0.02757523134698746,0.014609612580250732,0.9650023331777882,0.04453036464235718,1.0095326978201453,1.0095326978201453
distinct,34232,0.9014139173828666,0.9640248889927553,0.9422032016826362,0.021821687310119187,68464,0.9218796400700193,0.0001722482067211305,0.5526439455937612,0.05430591259640103,0.9941867258705305,1.0484926384669315,1.0484926384669315
valueType,14999,0.44089266173691016,0.7104806987132476,0.7099473298219882,0.0005333688912594173,29998,0.7432479346357441,0.013600876630596012,0.03072893963820942,0.9903326888459231,0.004266951130075338,0.9945996399759984,0.9945996399759984
itemRequiresStatement,15001,0.4790367232580634,0.8079794680354643,0.7287847476834878,0.07919472035197654,30002,0.9128460394228067,0.012779661286108418,0.010272352565752686,0.9862009199386708,0.007866142257182854,0.9940670621958536,0.9940670621958536
inverse,15001,0.8075176505684643,0.8994400373308447,0.8781081261249251,0.021331911205919606,30002,0.7899744931810389,0.030180866162154332,0.003765708016942081,0.947470168655423,0.04026398240117326,0.9877341510565962,0.9877341510565962
valueRequiresStatement,15003,0.7336299225572581,0.9002532826767979,0.8545290941811637,0.045724188495634206,30006,0.6692305718469954,0.002981687230504856,0.002480755485559513,0.9811371059121509,0.019929347463840567,1.0010664533759914,1.0010664533759914
oneOf,1028,0.6406112253893623,0.6459143968871596,0.6157587548638133,0.030155642023346304,2056,0.7508404888695221,0.016213030353738944,0.013651133129963026,0.7003891050583657,0.8521400778210116,1.5525291828793775,1.5525291828793775
