state,factor_family,factor_type,support,positive_rate,accuracy,precision,recall,f1,auroc,auprc,ece
post_gold,conflictWith,3,1843471,0.7072381393577659,0.9380223502295398,0.9695498156962529,0.9419500173726562,0.955550662301123,0.9848933919137441,0.9927686839542489,0.25537424563323186
post_gold,distinct,2,687661,0.9887735381241629,0.9980615448600401,0.9993348167508447,0.9987042993436195,0.9990194585616421,0.9970228391616088,0.9999511439542804,0.011975557716967001
post_gold,inverse,9,42384,0.8147178180445451,0.9489194035485089,0.9554486097039289,0.983145579334511,0.9690992392560981,0.9737196170770513,0.992120012724707,0.12615900328217614
post_gold,itemRequiresStatement,4,705893,0.9912947146380542,0.9912947146380542,0.9912947146380542,1.0,0.9956283289972333,0.8643566040394326,0.9977807178936171,0.0058262674810728304
post_gold,oneOf,12,3331,0.9978985289702792,0.9978985289702792,0.9978985289702792,1.0,0.9989481592787377,0.7806429430978168,0.9993451172746337,0.11492663872417333
post_gold,single,0,1368781,0.9990254102007553,0.9990254102007553,0.9990254102007553,1.0,0.9995124675282908,0.867382576453777,0.9997881765987877,0.000983181542717886
post_gold,symmetric,14,4698,0.9987228607918263,0.9987228607918263,0.9987228607918263,1.0,0.9993610223642173,0.6757779198635977,0.9992830746268812,0.007044685386809571
post_gold,type,5,752805,0.9426518155432018,0.9768426086436727,0.9794106891545972,0.9963798188641171,0.9878223840968007,0.9710497121259178,0.9972429752150209,0.030910275870426124
post_gold,valueRequiresStatement,15,20367,0.9951391957578436,0.9951391957578436,0.9951391957578436,1.0,0.997563676633444,0.5300079938919489,0.9957825598802365,0.07072785121676865
post_gold,valueType,16,466978,0.8715207140379204,0.9693968452475277,0.9806416552021268,0.9843162211503731,0.9824755023685232,0.9825165634767782,0.9962658769938104,0.10544901550731015
pre,conflictWith,3,1843471,0.7164360057738907,0.9421856920993061,0.9682724808587381,0.950446306547369,0.9592765851923262,0.9862316686647377,0.9938468295800812,0.24394463234264915
pre,distinct,2,431550,0.9406951685783802,0.9983663538408064,0.9993567848112496,0.9989062881044052,0.9991314856769052,0.9972684816609916,0.9995187489688718,0.06031371182405773
pre,inverse,9,42384,0.3294167610419026,0.9754152510381275,0.9877680459075808,0.9369717805471995,0.9616996250827023,0.9922236465674077,0.9910381047737995,0.6548396797860241
pre,itemRequiresStatement,4,705718,0.9935229085838819,0.9943348476303566,0.9944803108389332,0.9998473929147526,0.997156630002034,0.8508442963270144,0.9983825226536476,0.0032081073497457796
pre,oneOf,12,3331,0.7577304112879015,0.7577304112879015,0.7577304112879015,1.0,0.8621690862510675,0.6508153694790237,0.851957196772937,0.09131820661389628
pre,single,0,1368781,0.9985768358853607,0.9985768358853607,0.9985768358853607,1.0,0.9992879112330906,0.873132725007311,0.9997133530906454,0.00014599769368112424
pre,symmetric,14,4698,0.945295870583227,0.9576415495955726,0.9575064710957722,0.9995496509795091,0.9780764569791782,0.8184922595166896,0.9812896473964383,0.02637190991840555
pre,type,5,752048,0.9428600302108376,0.9775493053634874,0.9808211146954301,0.9956577292137937,0.9881837357703036,0.9711723079906317,0.9972420875846868,0.031979038204881245
pre,valueRequiresStatement,15,20344,0.9631340935902477,0.9631340935902477,0.9631340935902477,1.0,0.981220892383194,0.8424017216154605,0.9918396472277073,0.027961590488829832
pre,valueType,16,466401,0.8707635704040085,0.9703302522936271,0.9823220586969619,0.9836281932902432,0.9829746921098931,0.9835796910900124,0.9966191399579298,0.10723388449538819
