constraint_type,support,fidelity_micro_f1,primary_fix_rate,repair_action_match_rate,repair_action_exact_rate,repair_action_alternative_rate,repair_action_total,gfr,srr,sir,disruption_add_mean,disruption_del_mean,disruption_total_ops_mean,disruption_changed_mean
single,13533,0.4967348097671777,0.6423557230473657,0.9589891376634893,0.7175423039976354,0.24144683366585384,27066,0.8316982261379224,3.955391099183409e-06,0.0037913565711446442,0.0,1.0,1.0,1.0
conflictWith,12145,0.4424099680899559,0.8260189378344998,0.9162618361465624,0.6559901193906957,0.26027171675586663,24290,0.8950074137472949,0.012499919707607223,0.14003399019621612,0.0,1.0,1.0,1.0
type,8738,0.06611290049160876,0.8355458915083543,0.5209430075532159,0.054417486839093615,0.46652552071412223,17476,0.8130465861760262,0.019399707174231333,0.03769381571912315,0.0,1.0,1.0,1.0
distinct,27960,0.5660442960954069,1.0,0.9713519313304722,0.7624821173104435,0.2088698140200286,55920,0.9674243681598448,0.00036337447641935776,0.5681022139002093,0.0,1.0,1.0,1.0
valueRequiresStatement,6411,0.04790326331292149,1.0,0.5179379192013727,0.042037123693651535,0.47590079550772113,12822,0.7936904995213607,0.07286058851905451,0.08806985414350187,0.0,1.0,1.0,1.0
itemRequiresStatement,10151,0.006007188931015806,0.9628608018914393,0.5026598364693133,0.00566446655501921,0.49699536991429416,20302,0.9003653031112312,0.013602113005491223,0.2240658697651091,0.0,1.0,1.0,1.0
valueType,8441,0.03407294654879691,0.8514394029143466,0.5055088259684871,0.022746120127946926,0.4827627058405402,16882,0.9012640509835589,0.00436314224786261,0.06795064983989452,0.0,1.0,1.0,1.0
inverse,11774,0.05728990887613905,1.0,0.5223798199422456,0.05121454051299473,0.4711652794292509,23548,0.8949991047617092,0.0002925016799082968,0.04688626320243207,0.0,1.0,1.0,1.0
oneOf,812,0.7327898550724639,1.0,0.6403940886699507,0.6385467980295566,0.0018472906403940886,1624,0.8629181195043077,0.011474912421041017,0.10151537442989554,0.0,1.0,1.0,1.0
