state,density_bucket,factor_family,factor_type,support,positive_rate,accuracy,precision,recall,f1,auroc,auprc,ece
post_gold,1,inverse,9,1,1.0,1.0,1.0,1.0,1.0,,,9.560585021972656e-05
post_gold,1,single,0,4,1.0,1.0,1.0,1.0,1.0,,,0.013254165649414062
post_gold,1,symmetric,14,2,1.0,1.0,1.0,1.0,1.0,,,0.0
post_gold,1,type,5,8,1.0,1.0,1.0,1.0,1.0,,,0.00038467347621917725
post_gold,1,valueRequiresStatement,15,26,1.0,1.0,1.0,1.0,1.0,,,0.04144408840399521
post_gold,17_64,conflictWith,3,720412,0.7397961166665741,0.9486696501446394,0.9759281471601432,0.9541502332266333,0.964916325355329,0.9872679335611779,0.9943269657164212,0.23004299610621792
post_gold,17_64,distinct,2,354718,0.9784448491477737,0.9985058553555218,0.9988397802779921,0.999634081689102,0.9992367731344144,0.9977469136264903,0.9999328288171412,0.018145833059558344
post_gold,17_64,inverse,9,34015,0.7751286197265912,0.9568131706600029,0.9493556654513952,0.9974967761511037,0.9728310122251197,0.9847135296394419,0.9936534071976916,0.15906129209640957
post_gold,17_64,itemRequiresStatement,4,219744,0.984677624872579,0.984677624872579,0.984677624872579,1.0,0.9922796655056739,0.8698718448460797,0.9972640952953346,0.006673608643323056
post_gold,17_64,oneOf,12,1930,0.9989637305699481,0.9989637305699481,0.9989637305699481,1.0,0.9994815966822187,0.7946058091286308,0.9997329918947062,0.10409890459609156
post_gold,17_64,single,0,587533,0.9988153856889741,0.9988153856889741,0.9988153856889741,1.0,0.9994073418087996,0.9397793367458613,0.9998885811826608,0.0006459263744832409
post_gold,17_64,symmetric,14,2596,0.9992295839753467,0.9992295839753467,0.9992295839753467,1.0,0.9996146435452794,0.951040863531226,0.9999610996329122,0.0030767505497704675
post_gold,17_64,type,5,207092,0.9749531609139899,0.983331079906515,0.9849661542973046,0.9981377380451202,0.991508203980222,0.9562396245932927,0.9983642848775705,0.009020674802733816
post_gold,17_64,valueRequiresStatement,15,9381,0.9929645027182603,0.9929645027182603,0.9929645027182603,1.0,0.9964698331193839,0.6198701995803446,0.9956980947904124,0.051196483086070665
post_gold,17_64,valueType,16,146770,0.8975676228112012,0.9694215439122437,0.9774712574670549,0.9887198639703649,0.9830633840022943,0.9809130523151186,0.9966995835759628,0.06933150475741783
post_gold,2_4,conflictWith,3,229,0.37554585152838427,0.851528384279476,0.9333333333333333,0.6511627906976745,0.767123287671233,0.9450317124735729,0.9092454305792139,0.5969771101531437
post_gold,2_4,distinct,2,470,1.0,1.0,1.0,1.0,1.0,,,0.00045533066100267305
post_gold,2_4,inverse,9,107,1.0,1.0,1.0,1.0,1.0,,,0.00420055155442144
post_gold,2_4,itemRequiresStatement,4,1064,1.0,1.0,1.0,1.0,1.0,,,0.004212340410042481
post_gold,2_4,oneOf,12,9,1.0,1.0,1.0,1.0,1.0,,,0.31920425097147626
post_gold,2_4,single,0,652,1.0,1.0,1.0,1.0,1.0,,,0.0012900524892689447
post_gold,2_4,symmetric,14,352,1.0,1.0,1.0,1.0,1.0,,,0.009189532900398409
post_gold,2_4,type,5,1094,1.0,1.0,1.0,1.0,1.0,,,0.0035794890558915253
post_gold,2_4,valueRequiresStatement,15,13,1.0,1.0,1.0,1.0,1.0,,,0.07009310905749983
post_gold,2_4,valueType,16,262,1.0,0.9961832061068703,1.0,0.9961832061068703,0.9980879541108987,,,0.03704760684311846
post_gold,5_16,conflictWith,3,22006,0.5823411796782696,0.8949377442515678,0.9597303685546704,0.8554818571985954,0.9046125917980032,0.9652596542963261,0.9751853864027304,0.3848929062734081
post_gold,5_16,distinct,2,13095,0.9981672394043528,0.9969453990072547,0.9982411868165482,0.9986994109096473,0.9984702462903472,0.9851197307015529,0.9999713210895226,0.003978575589138868
post_gold,5_16,inverse,9,2900,0.9917241379310345,0.9917241379310345,0.9920634920634921,0.9996522948539638,0.99584343609283,0.9355151831247103,0.9993654902562105,0.010245179503128497
post_gold,5_16,itemRequiresStatement,4,18649,0.9954957370368385,0.9954957370368385,0.9954957370368385,1.0,0.9977427849733971,0.9387563643825427,0.9996839666558837,0.006749274810713482
post_gold,5_16,oneOf,12,273,0.9963369963369964,0.9963369963369964,0.9963369963369964,1.0,0.998165137614679,0.8529411764705882,0.9994186789060129,0.11037045739072586
post_gold,5_16,single,0,17983,0.9992214869599065,0.9992214869599065,0.9992214869599065,1.0,0.9996105919003115,0.8657926746857684,0.9998673098353767,0.0012939467364089631
post_gold,5_16,symmetric,14,642,0.9984423676012462,0.9984423676012462,0.9984423676012462,1.0,0.9992205767731879,0.5358814352574103,0.9990278403865109,0.026389407963024844
post_gold,5_16,type,5,14656,0.9812363537117904,0.984375,0.987865416436845,0.9963145817397956,0.9920720096936126,0.9647585513714433,0.9991264577442929,0.005078221403883898
post_gold,5_16,valueRequiresStatement,15,866,0.9953810623556582,0.9953810623556582,0.9953810623556582,1.0,0.9976851851851852,0.7697215777262181,0.9986711971542825,0.05060006426883896
post_gold,5_16,valueType,16,7517,0.9176533191432752,0.9715311959558335,0.976068376068376,0.9933314004059147,0.9846242276189108,0.9588086219179919,0.9952893040425442,0.053421166941902125
post_gold,65_plus,conflictWith,3,1100824,0.6884969804437403,0.9319337151079555,0.9651782904765083,0.9348659610457123,0.9497803320989929,0.9834718295774929,0.9916870176334036,0.26936050907724474
post_gold,65_plus,distinct,2,319378,0.9998434456975747,0.9976109813449894,0.9999183973234322,0.9976920282593447,0.9988039721292589,0.9486509482413067,0.9999843245917303,0.006351674317849602
post_gold,65_plus,inverse,9,5361,0.9664241745942921,0.8746502518186905,0.9674476466929297,0.9005983400887859,0.9328268692522991,0.5698996332754295,0.9772172467158748,0.18320905327841414
post_gold,65_plus,itemRequiresStatement,4,466436,0.994224288005214,0.994224288005214,0.994224288005214,1.0,0.9971037801367051,0.8336917316301975,0.9978494248011494,0.005554224756678961
post_gold,65_plus,oneOf,12,1119,0.9964253798033958,0.9964253798033958,0.9964253798033958,1.0,0.9982094897045658,0.6955156950672646,0.9979579836733082,0.13307039731309492
post_gold,65_plus,single,0,762609,0.9991817563128681,0.9991817563128681,0.9991817563128681,1.0,0.9995907107072441,0.7742978159860137,0.9996730849725919,0.0014358570325952904
post_gold,65_plus,symmetric,14,1106,0.9972875226039783,0.9972875226039783,0.9972875226039783,1.0,0.9986419194205524,0.5850710184345724,0.9979221286221638,0.006690982991920415
post_gold,65_plus,type,5,529955,0.9288430149729694,0.9740506269400232,0.9768554782875605,0.9956525713821369,0.9861644610156123,0.9727590446251486,0.9967362519524039,0.0413055866397994
post_gold,65_plus,valueRequiresStatement,15,10081,0.9971233012597956,0.9971233012597956,0.9971233012597956,1.0,0.9985595788009736,0.41934012102583806,0.9960218928534037,0.09070841439623356
post_gold,65_plus,valueType,16,312429,0.8580669528116788,0.9693114275563408,0.9823191142391211,0.9819087229796519,0.9821138757373268,0.9840712523218152,0.9961335513788974,0.12564072921283323
pre,1,inverse,9,1,1.0,1.0,1.0,1.0,1.0,,,4.458427429199219e-05
pre,1,single,0,4,1.0,1.0,1.0,1.0,1.0,,,0.010468006134033203
pre,1,symmetric,14,2,1.0,1.0,1.0,1.0,1.0,,,0.011650562286376953
pre,1,type,5,22,1.0,1.0,1.0,1.0,1.0,,,0.0031279840252615987
pre,1,valueRequiresStatement,15,26,1.0,1.0,1.0,1.0,1.0,,,0.030681362518897425
pre,17_64,conflictWith,3,720412,0.7540032647984765,0.9517276225271095,0.9752635642827631,0.9603363813598481,0.9677424142357839,0.9883753095348901,0.995932003897947,0.21670981743427953
pre,17_64,distinct,2,156422,0.8556213320376929,0.9966053368452008,0.9985862288214833,0.997444671916795,0.9980151239332692,0.9974408685654023,0.9988994495780193,0.14385665885644286
pre,17_64,inverse,9,34015,0.26697045421137733,0.9880346905776863,0.9926169922762381,0.9623389494549058,0.977243500139782,0.994514669702577,0.9928970617047471,0.7200460127380857
pre,17_64,itemRequiresStatement,4,219708,0.9857174067398548,0.988434649625867,0.9885190747698108,0.9998799464376414,0.994167054994043,0.8752392522058597,0.9974606400612425,0.003505505694952909
pre,17_64,oneOf,12,1930,0.8580310880829015,0.8580310880829015,0.8580310880829015,1.0,0.9235917456776352,0.5633859621284248,0.887343517122184,0.10042912929169256
pre,17_64,single,0,587533,0.9984613630213112,0.9984613630213112,0.9984613630213112,1.0,0.9992300892040452,0.915552009986502,0.9997937992148352,0.00042018323435059077
pre,17_64,symmetric,14,2596,0.9576271186440678,0.9653312788906009,0.9650621118012422,1.0,0.9822204662188859,0.7807229576537702,0.9818934070779384,0.018837828103033895
pre,17_64,type,5,206317,0.9772001337747253,0.9853187085892098,0.9868877861247867,0.9982392008451836,0.9925310384790835,0.9550206032227634,0.9985208189213973,0.009845967763864791
pre,17_64,valueRequiresStatement,15,9371,0.9724682531213318,0.9724682531213318,0.9724682531213318,1.0,0.9860419822549232,0.8723788403481866,0.9956886930038344,0.02095369978579982
pre,17_64,valueType,16,146142,0.8972232486212041,0.971616646822953,0.9801545884951067,0.9883772364668019,0.984248739291573,0.9822250447439086,0.9971697335890701,0.07342056115436921
pre,2_4,conflictWith,3,229,0.37117903930131,0.8471615720524017,0.8378378378378378,0.7294117647058823,0.779874213836478,0.9345588235294118,0.8963465021738146,0.5865309215059903
pre,2_4,distinct,2,484,1.0,1.0,1.0,1.0,1.0,,,0.0011770461709046266
pre,2_4,inverse,9,107,0.9906542056074766,0.9906542056074766,1.0,0.9905660377358491,0.9952606635071091,1.0,1.0,0.012535152452014298
pre,2_4,itemRequiresStatement,4,1068,1.0,1.0,1.0,1.0,1.0,,,0.0019933777243903122
pre,2_4,oneOf,12,9,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.8,0.6111111111111112,0.8412698412698413,0.14739408757951525
pre,2_4,single,0,652,1.0,1.0,1.0,1.0,1.0,,,0.0008677620829248278
pre,2_4,symmetric,14,352,0.9346590909090909,0.9517045454545454,0.9508670520231214,1.0,0.9748148148148148,0.908418131359852,0.992545478092583,0.06925726876678794
pre,2_4,type,5,1117,1.0,1.0,1.0,1.0,1.0,,,0.0028429540439492973
pre,2_4,valueRequiresStatement,15,13,0.8461538461538461,0.8461538461538461,0.8461538461538461,1.0,0.9166666666666666,0.5,0.9029626938717847,0.19083531544758725
pre,2_4,valueType,16,268,1.0,0.9850746268656716,1.0,0.9850746268656716,0.9924812030075187,,,0.03252502202765264
pre,5_16,conflictWith,3,22006,0.6038353176406435,0.904753249113878,0.9442680215941569,0.8950933172787477,0.9190233348786896,0.9678888347704977,0.9786880284210507,0.34692844860284033
pre,5_16,distinct,2,12210,0.966093366093366,0.9968877968877969,0.9975457007447529,0.9992370295015259,0.9983906488226325,0.9990777189680282,0.9999674334921563,0.0318353081376765
pre,5_16,inverse,9,2900,0.92,0.993103448275862,0.9973703981968445,0.9951274362818591,0.9962476547842402,0.998571834772269,0.999879105519645,0.07869763771425292
pre,5_16,itemRequiresStatement,4,18518,0.9933578140187925,0.9949778593800627,0.996150509650835,0.9988040228322914,0.9974755015065556,0.973377574765147,0.9998035954066942,0.004028012084257923
pre,5_16,oneOf,12,273,0.9010989010989011,0.9010989010989011,0.9010989010989011,1.0,0.9479768786127168,0.6707317073170732,0.9167613030556135,0.07527470501351267
pre,5_16,single,0,17983,0.996830339765334,0.996830339765334,0.996830339765334,1.0,0.9984126542092512,0.9058042713612102,0.9996203878940266,0.0015688726582888271
pre,5_16,symmetric,14,642,0.9314641744548287,0.9719626168224299,0.9707792207792207,1.0,0.985172981878089,0.8550471267862572,0.9815278039114306,0.08864802405284572
pre,5_16,type,5,14358,0.9768770023680178,0.9867669591865162,0.9871830985915493,0.9994296306858691,0.9932686175866222,0.9769203364148166,0.9993847580804515,0.01139225161811207
pre,5_16,valueRequiresStatement,15,868,0.9089861751152074,0.9089861751152074,0.9089861751152074,1.0,0.9523234761617382,0.8911937880027594,0.9888215550586863,0.05482530209325979
pre,5_16,valueType,16,7378,0.9216589861751152,0.9776362157766333,0.9819845997384862,0.9939705882352942,0.9879412409559306,0.9784119936902097,0.9977024233858225,0.05704116657758508
pre,65_plus,conflictWith,3,1100824,0.6941736372026772,0.9367092287232109,0.9636957261989811,0.944403222872607,0.9539519427267703,0.984987003659984,0.9924035467130925,0.25996222753266934
pre,65_plus,distinct,2,262434,0.9901117995381696,0.9994817744651989,0.9998344810596291,0.9996420860609839,0.999738274303925,0.9940984568916513,0.99980993640495,0.011977311147409794
pre,65_plus,inverse,9,5361,0.3928371572467823,0.8854691288938631,0.9461722488038278,0.7511870845204178,0.8374801482265749,0.9632782059305357,0.9555255110850865,0.5689408766351416
pre,65_plus,itemRequiresStatement,4,466424,0.997191396669125,0.9970756221806768,0.9972017325671155,0.999873149378432,0.9985356542426305,0.7421878932283104,0.998612462449428,0.003871776083357388
pre,65_plus,oneOf,12,1119,0.550491510277033,0.550491510277033,0.550491510277033,1.0,0.710086455331412,0.662215021558958,0.7088571610546434,0.24260394982294486
pre,65_plus,single,0,762609,0.9987057587833346,0.9987057587833346,0.9987057587833346,1.0,0.9993524603554186,0.8238737954016802,0.9996283576944411,0.00039571538735409
pre,65_plus,symmetric,14,1106,0.9276672694394213,0.9330922242314648,0.9343065693430657,0.9980506822612085,0.9651272384542884,0.8452180799220272,0.9809054278308532,0.01936879740593448
pre,65_plus,type,5,530234,0.9284542296420071,0.9742283595544609,0.9781252310046731,0.9944830163843851,0.9862363005109641,0.972655533946986,0.9966582605900809,0.04308818671731921
pre,65_plus,valueRequiresStatement,15,10066,0.9591694814226107,0.9591694814226107,0.9591694814226107,1.0,0.9791592718421986,0.8260072249291556,0.9885714199819662,0.0409424172796882
pre,65_plus,valueType,16,312613,0.8570820791201902,0.9695438129572347,0.9833854603136598,0.9810401776550283,0.9822114189947893,0.9846987770181537,0.9962998451523903,0.1263421799577312
