slice,support,candidate_set_nonempty_rate,candidate_count_mean,oracle_safe_available_rate,selected_safe_rate,oracle_non_vacuous_safe_available_rate,selected_non_vacuous_safe_rate,oracle_primary_fix_rate,selected_primary_fix_rate,oracle_gfr,selected_gfr,oracle_srr,selected_srr,oracle_sir,selected_sir,oracle_mean_disruption,selected_mean_disruption,oracle_focus_deleted_rate,selected_focus_deleted_rate,oracle_vacuous_satisfaction_improvement_rate,selected_vacuous_satisfaction_improvement_rate
conflictWith,15093,1.0,42.41078645729809,0.9819784005830517,0.9552772808586762,0.058636453985291194,0.03133903133903134,0.9820446564632611,0.9648181276088252,0.9437101763121163,0.9366778512755611,1.0618168535818267e-06,0.0006096239873232197,0.04883567951585318,0.010049986845566955,0.06857483601669648,0.5605910024514675,0.05605247465712582,0.012721129000198768,0.05605247465712582,0.012522361359570662
distinct,34232,1.0,41.65637415283945,0.9999123627015658,0.9746436083197009,0.24637765833138583,0.03324374853937836,1.0,0.9769221780789904,0.9375166746938493,0.9330129587164103,1.2753090885481881e-05,0.00013912462784162054,0.3923863569190755,0.38305846190222853,0.9466580976863753,0.9493748539378359,0.9465412479551297,0.936813507828932,0.9464828230895069,0.9078639869128301
inverse,15001,1.0,42.299180054663026,1.0,0.8920738617425505,0.2493833744417039,0.18018798746750217,1.0,0.9553363109126058,0.8299624143802766,0.8020144988662956,0.0,0.002340437469442062,0.01649866173082813,0.00235695167583259,0.2002533164455703,0.6651556562895807,0.18598760082661156,0.023598426771548563,0.18598760082661156,0.02226518232117859
itemRequiresStatement,15001,1.0,41.80781281247917,0.8783414439037398,0.7202853143123792,0.10865942270515298,0.09139390707286181,0.998800079994667,0.7251516565562296,0.9337376871840194,0.9168787577622309,0.007861471732865928,0.004094043017444672,0.07616854084812356,0.002492887142663596,0.28411439237384173,0.7381507899473368,0.2639824011732551,0.0025331644557029533,0.14205719618692086,0.002199853343110459
oneOf,1028,1.0,61.64299610894942,0.995136186770428,0.245136186770428,0.0,0.0,1.0,0.26264591439688717,0.8048997151736466,0.7112871764483787,0.00013362909907261406,0.002326327611102198,0.06219301279833968,0.0016603251470079558,0.9562256809338522,0.48638132295719844,0.7587548638132295,0.027237354085603113,0.7587548638132295,0.027237354085603113
single,17958,1.0,41.16365965029513,0.9999443145116382,0.9884731039091212,0.019824033856776925,0.015870364183093885,0.9999443145116382,0.9997215725581914,0.9719458168465046,0.96893362560863,0.0,0.0003371591531685936,0.01674708330142197,0.0022210308646702917,0.020603630693841184,0.8091658313843413,0.017763670787392806,0.003842298696959572,0.017763670787392806,0.00322975832498051
type,15001,1.0,46.01146590227318,0.8650756616225584,0.6560229318045464,0.12359176054929671,0.11765882274515033,0.9757349510032665,0.6588227451503234,0.9403642350107037,0.9257910814706362,0.007406711543373151,0.0020782410523456966,0.0820237539546704,0.005264249779575748,0.39157389507366175,0.5554963002466502,0.3465102326511566,0.013865742283847744,0.1887874141723885,0.01239917338844077
valueRequiresStatement,15003,1.0,41.795440911817636,0.8495634206492035,0.6164100513230687,0.4729720722522162,0.4486436046124109,1.0,0.6262080917149904,0.8704641996335222,0.6698505493312731,0.007541684949539272,0.0007821922716121639,0.3382924903497485,0.0009646513735320126,0.7646470705858828,0.7517163234019862,0.6845964140505232,0.009998000399920015,0.6828634273145371,0.00806505365593548
valueType,14999,1.0,45.111207413827586,0.7862524168277886,0.1696113074204947,0.07547169811320754,0.06040402693512901,0.9269951330088673,0.20874724981665443,0.8111404125253994,0.7481818194290738,0.003347752170047408,0.0037722684228493524,0.06870799494110146,0.0032820126890554286,0.8400560037335822,0.7833855590372691,0.8195213014200947,0.011067404493632908,0.7339822654843656,0.010467364490966065
