state,factor_family,factor_type,support,positive_rate,accuracy,precision,recall,f1,auroc,auprc,ece
pre,conflictWith,3,1843471,0.7164360057738907,0.7290182487275363,0.8341033773986235,0.7761304552258639,0.8040733226312654,0.7647892020279792,0.8893827441075323,0.06800031782605756
pre,distinct,2,431550,0.9406951685783802,0.9755625072413393,0.9903300769576076,0.9836263446621194,0.9869668275730814,0.98478062024809,0.9986166718131453,0.05071778272632201
pre,inverse,9,42384,0.3294167610419026,0.9001745941864855,0.9599205974099632,0.7273313278899871,0.8275946375453324,0.8979155473529078,0.8652500803907206,0.5249102674445744
pre,itemRequiresStatement,4,705718,0.9935229085838819,0.9935229085838819,0.9935229085838819,1.0,0.9967509320368336,0.7598792492947278,0.9974386329347256,0.011098141342138712
pre,oneOf,12,3331,0.7577304112879015,0.7577304112879015,0.7577304112879015,1.0,0.8621690862510675,0.6537986261259934,0.8254525741119336,0.18148059408001194
pre,single,0,1368781,0.9985768358853607,0.9985768358853607,0.9985768358853607,1.0,0.9992879112330906,0.7546525159028161,0.9995045852793931,0.004780023774480913
pre,symmetric,14,4698,0.945295870583227,0.945295870583227,0.945295870583227,1.0,0.9718787613524456,0.6268087339672682,0.9654334726018552,0.009043962841797214
pre,type,5,752048,0.9428600302108376,0.9428600302108376,0.9428600302108376,1.0,0.9705897651397144,0.8237264872881934,0.9849904746633524,0.013214924163991027
pre,valueRequiresStatement,15,20344,0.9631340935902477,0.9631340935902477,0.9631340935902477,1.0,0.981220892383194,0.7711421863835868,0.9856037400145243,0.005988506496983852
pre,valueType,16,466401,0.8707635704040085,0.8707635704040085,0.8707635704040085,1.0,0.9309178179217581,0.7459483876578736,0.9463310089165227,0.023454261151328572
