slice,support,candidate_set_nonempty_rate,candidate_count_mean,oracle_safe_available_rate,selected_safe_rate,oracle_non_vacuous_safe_available_rate,selected_non_vacuous_safe_rate,oracle_primary_fix_rate,selected_primary_fix_rate,oracle_gfr,selected_gfr,oracle_srr,selected_srr,oracle_sir,selected_sir,oracle_mean_disruption,selected_mean_disruption,oracle_focus_deleted_rate,selected_focus_deleted_rate,oracle_vacuous_satisfaction_improvement_rate,selected_vacuous_satisfaction_improvement_rate
conflictWith,15093,1.0,42.860200092758234,0.5158020274299344,0.41211157490227257,0.028821307891075332,0.027429934406678593,0.5163320744716093,0.49903928973696415,0.9436958843649974,0.9252562605368447,1.4756989279047289e-05,0.007090216336732268,0.05127668480535789,0.029951084255408197,0.06340687736036574,1.18048101769032,0.055853707016497715,0.005896773338633803,0.055853707016497715,0.005764261578215067
distinct,34232,1.0,41.811404533769576,0.12730778219210095,0.1256134610890395,0.11886538910960505,0.011568123393316195,0.12748305678896937,0.126226922178079,0.9375264525493906,0.916280759516071,1.0379629170448503e-05,0.00014647908117247855,0.5381248454769383,0.3566438048843023,0.9483816312222482,1.0588922645477916,0.9480895068941342,0.6566662771675625,0.9464828230895069,0.6138700630988548
inverse,15001,1.0,42.044730351309916,0.18578761415905606,0.1403239784014399,0.02879808012799147,0.016865542297180187,0.18598760082661156,0.16658889407372843,0.8299969560064607,0.7921768083361477,1.5098726799862602e-05,0.010009244082621901,0.02669925481184331,0.008474688840774146,0.20085327644823678,1.0231984534364376,0.18592093860409306,0.051463235784281046,0.18538764082394507,0.040463969068728754
itemRequiresStatement,15001,1.0,41.22231851209919,0.46343577094860344,0.3884407706152923,0.07179521365242317,0.05646290247316846,0.47436837544163724,0.42203853076461567,0.9393295187108746,0.9161662717848448,0.0006591213657286023,0.014537540325984432,0.08116717976174541,0.023370365412929996,0.16545563629091395,1.004533031131258,0.1514565695620292,0.00433304446370242,0.13632424505032997,0.003999733351109926
oneOf,1028,1.0,61.68093385214008,0.3336575875486381,0.2480544747081712,0.13910505836575876,0.037937743190661476,0.3356031128404669,0.316147859922179,0.803747695749791,0.7525081033244374,0.0002672796279467579,0.013812229072992111,0.10709557850145618,0.04639925867090283,0.9445525291828794,1.7577821011673151,0.7490272373540856,0.6264591439688716,0.7470817120622568,0.6264591439688716
single,17958,1.0,41.45422652856666,0.40472212941307495,0.35126406058581133,0.005512863347811561,0.0006682258603407952,0.40477781490143666,0.38634591825370307,0.9719390455969555,0.9604446435467818,1.1552506720670784e-06,0.005901883844391967,0.015507651295721939,0.0018199061851177812,0.021828711437799308,1.14845751197238,0.018487582136095332,0.018153469205924935,0.0184318966477336,0.013642944648624568
type,15001,1.0,45.60302646490234,0.26784881007932804,0.18672088527431505,0.09819345376974868,0.050529964669022064,0.3294447036864209,0.24091727218185455,0.9425543280633931,0.9006893386820556,0.00408920220240975,0.025314688162721487,0.0819335912147252,0.01858822918559672,0.29244717018865407,1.0222651823211786,0.24638357442837144,0.027064862342510498,0.18152123191787214,0.014332377841477235
valueRequiresStatement,15003,1.0,41.13370659201493,0.21069119509431447,0.14417116576684663,0.12917416516696661,0.11324401786309404,0.23335332933413316,0.1651003132706792,0.8019731039512402,0.6657297283172057,0.001235199138858988,0.005412077989984421,0.17813750294186867,0.009525279474345689,0.6641338398986869,1.0215290275278277,0.5820835832833433,0.014730387255882157,0.5688195694194494,0.014730387255882157
valueType,14999,1.0,44.50650043336223,0.414227615174345,0.303886925795053,0.2744182945529702,0.25881725448363224,0.42182812187479163,0.3414894326288419,0.8133647981949572,0.7457349748008505,0.00016620094659481067,0.005224720970700984,0.07635823625834365,0.0064282741291512725,0.7035802386825788,1.0160010667377826,0.6867124474964997,0.035135675711714116,0.6831788785919062,0.03213547569837989
