constraint_type,support,fidelity_micro_f1,primary_fix_rate,repair_action_match_rate,repair_action_exact_rate,repair_action_alternative_rate,repair_action_total,gfr,srr,sir,disruption_add_mean,disruption_del_mean,disruption_total_ops_mean,disruption_changed_mean
single,13533,0.5258436270788766,0.555309244070051,0.8802556713219537,0.697628020394591,0.18262765092736274,27066,0.8160497383870774,0.0001661329973754942,0.0030893202415286734,0.12377152146604596,0.9357865957289588,1.0595581171950048,1.0595581171950048
conflictWith,12145,0.725490899953333,0.6406751749691231,0.8210786331823796,0.7683408810209963,0.05273775216138329,24290,0.8964954463001843,0.0008334363754028678,0.1463761116004205,0.24734458624948538,0.878880197612186,1.1262247838616715,1.1262247838616715
type,8738,0.5258919583939157,0.36587319752803843,0.7514877546349279,0.7443923094529641,0.007095445181963836,17476,0.8138827935409556,0.004713926075276387,0.2688828045949646,0.9708171206225681,0.05035477225909819,1.0211718928816662,1.0211718928816662
distinct,27960,0.910604035927536,0.5919527896995708,0.9725143061516452,0.9480150214592274,0.02449928469241774,55920,0.9342240541251648,0.0001272468247325849,0.32792157726621873,0.06309012875536481,0.9940271816881259,1.0571173104434908,1.0571173104434908
valueRequiresStatement,6411,0.6521570753620943,0.8830135704258306,0.923100920293246,0.8157073779441585,0.1073935423490875,12822,0.8329598112454882,0.00032803123371903805,0.018492316804317066,0.9552331929496178,0.04632662611137108,1.001559819060989,1.001559819060989
itemRequiresStatement,10151,0.30779834580543525,0.7667224903950349,0.8932124913801596,0.6520047285981677,0.24120776278199194,20302,0.7878209534610079,0.005001871203615741,0.1859432486150463,0.9959609890651168,0.004334548320362526,1.0002955373854792,1.0002955373854792
valueType,8441,0.4995626057036216,0.3583698613908305,0.7446984954389291,0.737708802274612,0.006989693164317024,16882,0.8845405391160112,0.0005517777651233253,0.06589704323241842,0.9900485724440232,0.017770406349958537,1.0078189787939817,1.0078189787939817
inverse,11774,0.8222737819025522,0.8416001358926448,0.906064209274673,0.8989298454221165,0.007134363852556481,23548,0.8705896801263808,0.00015415629076248074,0.007634547111125075,0.9653473755732971,0.03473755732970953,1.0000849329030066,1.0000849329030066
oneOf,812,0.6799565059804277,0.7561576354679803,0.7469211822660099,0.6564039408866995,0.09051724137931035,1624,0.8367050146483904,0.0012416875914020033,0.024734982332155476,0.8091133004926109,0.8694581280788177,1.6785714285714286,1.6785714285714286
