constraint_type,support,fidelity_micro_f1,primary_fix_rate,primary_exact_rate,primary_alternative_rate,primary_total,gfr,srr,sir,disruption_add_mean,disruption_del_mean,disruption_total_ops_mean,disruption_changed_mean
conflictWith,15093,0.7030180505415162,0.8316106804478898,0.7562114887696283,0.07539919167826145,30186,0.9280558364627065,0.011905416452266417,0.00556915559389658,0.2269263897170874,0.8867024448419797,1.113628834559067,1.113628834559067
single,17958,0.5707285035869455,0.878661320859784,0.7107695734491591,0.1678917474106248,35916,0.9635818707064792,0.007118374062088912,0.002037906114370615,0.13971489029958792,0.9163047109923154,1.0560196012919034,1.0560196012919034
type,15001,0.42638893452048493,0.6981201253249784,0.6950869942003867,0.003033131124591694,30002,0.8968720933754085,0.036407746882485714,0.01510060412758376,0.9686020931937871,0.03806412905806279,1.0066662222518499,1.0066662222518499
distinct,34232,0.9183303085299456,0.9721897639635428,0.951288268286983,0.020901495676559943,68464,0.9218310738974004,0.0003098187327425277,0.5531286741223946,0.05579574666978266,0.9938946015424165,1.049690348212199,1.049690348212199
valueType,14999,0.46239333201031957,0.7217814520968064,0.7213480898726582,0.00043336222414827656,29998,0.7430313067164713,0.01383207669851003,0.03109234087248244,0.9947329821988132,0.005000333355557037,0.9997333155543703,0.9997333155543703
itemRequiresStatement,15001,0.49871688051991336,0.8185454303046463,0.7393507099526698,0.07919472035197654,30002,0.9118973929007054,0.014847112155368504,0.011293306503801245,0.9888007466168922,0.006866208919405373,0.9956669555362976,0.9956669555362976
inverse,15001,0.8009132117923436,0.9013065795613626,0.874641690553963,0.026664889007399505,30002,0.7894413622707704,0.03068651368897223,0.003353255127842707,0.9550696620225319,0.03626424905006333,0.9913339110725952,0.9913339110725952
valueRequiresStatement,15003,0.7433458820421373,0.9119509431447044,0.857761780977138,0.05418916216756649,30006,0.6686655071581116,0.003990929803221904,0.002248745506240011,0.9872025594881024,0.009664733719922682,0.996867293208025,0.996867293208025
oneOf,1028,0.6935924688733678,0.6848249027237354,0.6483463035019456,0.036478599221789886,2056,0.7571156679433247,0.013189765991456388,0.018693645139026143,0.6186770428015564,0.8268482490272373,1.4455252918287937,1.4455252918287937
