slice,support,candidate_set_nonempty_rate,candidate_count_mean,oracle_safe_available_rate,selected_safe_rate,oracle_non_vacuous_safe_available_rate,selected_non_vacuous_safe_rate,oracle_primary_fix_rate,selected_primary_fix_rate,oracle_gfr,selected_gfr,oracle_srr,selected_srr,oracle_sir,selected_sir,oracle_mean_disruption,selected_mean_disruption,oracle_focus_deleted_rate,selected_focus_deleted_rate,oracle_vacuous_satisfaction_improvement_rate,selected_vacuous_satisfaction_improvement_rate
conflictWith,15093,1.0,42.46955542304379,0.9819784005830517,0.9621678924004505,0.058636453985291194,0.028357516729609754,0.9820446564632611,0.9676671304578282,0.9437133665393919,0.938096378244869,1.0618168535818267e-06,0.0004417326965020292,0.04928298908038416,0.01323335964219942,0.06870734777711522,0.662227522692639,0.05605247465712582,0.017425296495063938,0.05605247465712582,0.017160272974226464
distinct,34232,1.0,41.69055269922879,0.9999123627015658,0.9886947885019864,0.24637765833138583,0.020828464594531432,1.0,0.990973358261276,0.9375171851261429,0.9355845957229462,1.2753120456700837e-05,0.00015651484340400076,0.39241000177336405,0.38887509605722054,0.9466580976863753,0.9740885720962842,0.9464828230895069,0.9640687076419724,0.9464243982238841,0.9265015190465062
inverse,15001,1.0,42.355909606026266,1.0,0.9234717685487634,0.2493833744417039,0.17545496966868876,1.0,0.9590027331511233,0.8299585257506297,0.8053415469641904,0.0,0.001738777524012637,0.016485345619665234,0.0028762800111855336,0.2001866542230518,0.6875541630557963,0.18778748083461103,0.032131191253916405,0.18778748083461103,0.030464635690953937
itemRequiresStatement,15001,1.0,41.75914939004066,0.8783414439037398,0.758349443370442,0.10859276048263448,0.09119392040530631,0.9987334177721485,0.7616825544963669,0.933729795080744,0.9196170240043556,0.007809250787237835,0.002867079228197166,0.07624983064625389,0.003414171521474055,0.2841810545963602,0.8454769682021198,0.2647823478434771,0.0038664089060729285,0.14285714285714285,0.0031997866808879407
oneOf,1028,1.0,61.59338521400778,0.995136186770428,0.2850194552529183,0.0,0.0,1.0,0.3005836575875486,0.8048997151736466,0.723645763314965,0.00013362909907261406,0.001550097549242323,0.06219301279833968,0.005672777585610515,0.9562256809338522,0.4357976653696498,0.7587548638132295,0.05933852140077821,0.7587548638132295,0.05933852140077821
single,17958,1.0,41.16995211048001,0.9999443145116382,0.9983851208375097,0.019824033856776925,0.015647622229646954,0.9999443145116382,0.999777258046553,0.9719430826169312,0.9698391095445952,0.0,5.147493229291576e-05,0.016644966939827935,0.0025018508590538917,0.020659316182202916,0.8671344247689052,0.01787504176411627,0.0040650406504065045,0.01787504176411627,0.003452500278427442
type,15001,1.0,45.96226918205453,0.8656756216252249,0.5782947803479768,0.1241250583294447,0.009599360042663822,0.9757349510032665,0.6901539897340178,0.9404182367077764,0.9169035315444204,0.007301027193170442,0.013891341456236389,0.08228307660391058,0.006949846999636949,0.39164055729618025,0.7710819278714752,0.3462435837610826,0.019132057862809144,0.1886540897273515,0.01726551563229118
valueRequiresStatement,15003,1.0,41.839565420249286,0.8495634206492035,0.618009731387056,0.4729720722522162,0.44244484436446047,1.0,0.6234753049390122,0.8703071554501743,0.6707285332777818,0.007541684949539272,0.0006095677535924861,0.336749912270441,0.0012423540416700162,0.7644471105778844,0.7543824568419649,0.6891954942344864,0.012930747183896554,0.6874625074985004,0.010197960407918417
valueType,14999,1.0,45.10534035602373,0.7861857457163811,0.1780118674578305,0.07540502700180012,0.058403893592906195,0.9269284618974598,0.2154810320688046,0.811135168111683,0.74985334770588,0.003347752170047408,0.003514778654540591,0.06859301997428742,0.003318595633041715,0.840189345956397,0.788519234615641,0.8205880392026135,0.016401093406227082,0.7350490032668845,0.015401026735115675
