slice,support,candidate_set_nonempty_rate,candidate_count_mean,oracle_safe_available_rate,selected_safe_rate,oracle_non_vacuous_safe_available_rate,selected_non_vacuous_safe_rate,oracle_primary_fix_rate,selected_primary_fix_rate,oracle_gfr,selected_gfr,oracle_srr,selected_srr,oracle_sir,selected_sir,oracle_mean_disruption,selected_mean_disruption,oracle_focus_deleted_rate,selected_focus_deleted_rate,oracle_vacuous_satisfaction_improvement_rate,selected_vacuous_satisfaction_improvement_rate
conflictWith,15093,1.0,42.867090704300004,0.5158020274299344,0.42542900682435564,0.028821307891075332,0.027363678526469225,0.5163320744716093,0.5032796660703638,0.9436918285109445,0.9286655232097432,1.4756989279047289e-05,0.00517963575807267,0.05125052323147761,0.030578879907923306,0.06334062148015636,1.1061419200954086,0.055853707016497715,0.010004637911614656,0.055853707016497715,0.00980587027098655
distinct,34232,1.0,41.80675975695256,0.12730778219210095,0.12646062164057023,0.11886538910960505,0.0005550362234166862,0.12748305678896937,0.12716172002804393,0.9375273117385909,0.9220975458343981,1.0379629170448503e-05,0.0001822256206916039,0.5381248454769383,0.39913192377777984,0.9483816312222482,1.0463309184388876,0.9480895068941342,0.7775473241411545,0.9464828230895069,0.7339331619537275
inverse,15001,1.0,42.06752883141124,0.18578761415905606,0.13145790280647957,0.02879808012799147,0.022865142323845077,0.18598760082661156,0.162655822945137,0.8299660812882134,0.7903936585850663,1.5098555823135517e-05,0.009140882923508557,0.026685971600494136,0.007876944330061236,0.20111992533831077,0.9884007732817812,0.18572095193653756,0.01666555562962469,0.18518765415638958,0.01666555562962469
itemRequiresStatement,15001,1.0,41.2281181254583,0.46356909539364044,0.39597360175988267,0.07192853809746017,0.05566295580294647,0.47450169988667423,0.4217052196520232,0.9393092181978878,0.9143300933714293,0.0006591189655109628,0.014598086491743106,0.08092624815955025,0.02013117387230625,0.16525564962335845,0.9892673821745217,0.1513232451169922,0.00033331111259249385,0.13619092060529298,0.00026664889007399506
oneOf,1028,1.0,61.65661478599222,0.3336575875486381,0.24319066147859922,0.13910505836575876,0.017509727626459144,0.3356031128404669,0.2830739299610895,0.803747695749791,0.7574103126341428,0.0002672796279467579,0.01113501882732652,0.10709557850145618,0.06380725443473656,0.9445525291828794,1.377431906614786,0.7490272373540856,0.6284046692607004,0.7470817120622568,0.6284046692607004
single,17958,1.0,41.448657979730484,0.40472212941307495,0.3768236997438468,0.005512863347811561,0.002505846976277982,0.40477781490143666,0.39358503174072834,0.9719381474439175,0.9638318022833249,1.1552506720670784e-06,0.0033681808570213616,0.015482018814241407,0.0048189065183400406,0.021884396926161044,1.0501169395255596,0.018543267624457068,0.011025726695623121,0.018487582136095332,0.008519879719345138
type,15001,1.0,45.65062329178055,0.26791547230184654,0.215585627624825,0.09826011599226718,0.06912872475168322,0.3295113659089394,0.23931737884141058,0.9423627415781435,0.9134407733049067,0.004164470671585696,0.018922878169192792,0.08273838884706249,0.015343077442301203,0.29278048130124656,0.9957336177588161,0.24591693887074195,0.019865342310512634,0.18105459636024265,0.00866608892740484
valueRequiresStatement,15003,1.0,41.116643337999065,0.20469239485436247,0.16196760647870426,0.1231753649270146,0.12264213823901886,0.22735452909418116,0.16476704659068186,0.8019755428116202,0.6686784697952384,0.001237620425320797,0.0023754564826583614,0.17863157972155008,0.005850403133934543,0.6654002532826768,0.9968006398720256,0.5906818636272746,0.00033326667999733386,0.5774178497633806,0.00033326667999733386
valueType,14999,1.0,44.504166944462966,0.41369424628308554,0.30675378358557237,0.27408493899593306,0.27068471231415425,0.42129475298353225,0.33888925928395225,0.8134067201778811,0.7432754615312164,0.00016620041196256953,0.005373270713100592,0.07640448283481237,0.003833327338406754,0.704380292019468,0.9929328621908127,0.686912460830722,0.0027335155677045138,0.6833788919261284,0.0019334622308153878
