constraint_type,support,fidelity_micro_f1,primary_fix_rate,primary_exact_rate,primary_alternative_rate,primary_total,gfr,srr,sir,disruption_add_mean,disruption_del_mean,disruption_total_ops_mean,disruption_changed_mean
conflictWith,15093,0.0,0.40975949115484,0.40975949115484,0.0,30186,0.9366993868953105,0.0,0.0,0.0,0.0,0.0,0.0
single,17958,0.0,0.42577124401381,0.42577124401381,0.0,35916,0.9693497112344495,0.0,0.0,0.0,0.0,0.0,0.0
type,15001,0.0,0.48883407772815146,0.48883407772815146,0.0,30002,0.9288339454812331,0.0,0.0,0.0,0.0,0.0,0.0
distinct,34232,0.0,0.47055386772610425,0.47055386772610425,0.0,68464,0.8632783181501217,0.0,0.0,0.0,0.0,0.0,0.0
valueType,14999,0.0,0.4919994666311087,0.4919994666311087,0.0,29998,0.7535886935150983,0.0,0.0,0.0,0.0,0.0,0.0
itemRequiresStatement,15001,0.0,0.49773348443437104,0.49773348443437104,0.0,30002,0.922087047900887,0.0,0.0,0.0,0.0,0.0,0.0
inverse,15001,0.27819325931538896,0.9548363442437171,0.5955602959802679,0.3592760482634491,30002,0.7673257396704584,0.04103673263806356,0.0013249910323438754,1.0,0.0,1.0,1.0
valueRequiresStatement,15003,0.0,0.4892354862360861,0.4892354862360861,0.0,30006,0.6692157180720839,0.0,0.0,0.0,0.0,0.0,0.0
oneOf,1028,0.0,0.12110894941634241,0.12110894941634241,0.0,2056,0.7060282823441243,0.0,0.0,0.0,0.0,0.0,0.0
